"year","county","cornYield","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
2021,"DELAWARE",201.6,2.00820801827403,-1.05494849063962,-1.91245883433992,-0.350350462366556,-1.75532983128836,-1.65802328770655,-1.78396002587705,-0.602343929255732,0.988284922808945,-0.177678520145344
2021,"FAYETTE",207.1,3.02612662282773,-1.094471136412,-1.48066734439662,-0.0352471188090912,-1.46150350423893,-1.09157944255696,-1.4738069521948,-0.675140859538046,0.82759409595597,0.0634522777140725
2021,"KNOX",185.6,0.0638868659805872,-0.281883656648616,-2.15596503954692,-0.724288468084308,-1.67182488772059,-0.490840073073243,-1.46646381896919,-0.679842896233194,1.35220779327636,0.157385701400985
2021,"LICKING",179.8,1.3753744006233,-0.46507673245893,-1.83286583764502,-0.858193279933669,-1.75140893769446,-0.577741143751763,-1.43529408878413,-0.591382263053794,1.42106812087342,0.497811497116777
2021,"MADISON",210.1,3.0273951539016,-1.21678423963982,-1.23446852307614,-0.367629660261119,-1.86640053877001,-2.0955408352968,-1.89598544970424,-0.745978806729024,1.18580251905564,-0.407056051069996
2021,"MARION",191.1,2.10005398820659,-0.860515586964684,-1.93287872476544,-0.20085173324159,-1.84788491487392,-2.29479840998202,-1.85180952328029,-1.24816430724,0.814282774497887,-0.544980300798728
2021,"MORROW",191.3,0.388357482018245,-0.326984143353617,-2.0591210758035,-0.638559313973013,-1.79440735569986,-1.37488335709304,-1.55450239814612,-0.891877016433815,1.03155522702804,-0.0194555345774983
2021,"PICKAWAY",195.8,4.14853022405526,-1.3586441132666,-1.35195905517718,0.193711729937462,-1.34529856268412,-1.37654946355218,-1.14098127436635,-0.814040141981472,0.592354079531111,0.180119830564689
2021,"ROSS",187.1,3.91537947831985,-1.004181677637,-1.3136946143553,0.205629316577967,-1.1492215265463,-1.02359342360733,-1.44154944405008,-0.882809844432146,1.18642086413527,0.15752023270501
2021,"UNION",198.8,2.27125179948844,-0.862218595341614,-1.60172191801039,-0.192665311448549,-1.82551809683427,-1.82894706850776,-1.60116027246464,-1.09899623563835,0.831821713241703,-0.501625867034717
2021,"CARROLL",155.4,1.41705786130394,-0.664413652237737,-2.44421790878176,-0.836662428523456,-1.98676205589039,-0.690022975362185,-0.923506997398935,-0.341982449216771,1.34207682058182,0.200548472676422
2021,"COSHOCTON",182.8,1.6565867310355,-0.926306441136615,-2.11675830903804,-0.718895131063311,-1.86615457100066,-0.610170749906462,-1.32559613505035,-0.453905407896289,1.37964079098295,0.458805760513813
2021,"HARRISON",173.5,1.91009484229109,-0.885876648844124,-2.19781050343016,-0.960934595196715,-2.11687412195341,-0.714990359657757,-0.99220216595779,-0.328712548822442,1.69669220848682,0.403388178266378
2021,"HOLMES",176.2,0.693050626197428,-0.760959401047225,-2.40932201311795,-0.745970390653349,-1.94239161048302,-0.836135525559713,-1.34859447755963,-0.682968828948157,1.19191921596145,-0.17030768092373
2021,"JEFFERSON",148.6,1.80304299359259,-0.390744339442171,-2.15695200702439,-1.11229324282968,-1.73464066909607,-0.759851238149416,-0.70601675085266,-0.0321263028652468,1.85987085128403,0.602198697042798
2021,"TUSCARAWAS",169.1,2.00126960832482,-1.11712902591675,-2.26452015110379,-0.673989310705193,-2.06587960217332,-0.928708800727825,-1.09128047794611,-0.539864690091984,1.08248224529196,0.0755128188163363
2021,"ASHLAND",178.3,0.861853440834903,-0.953799896765953,-2.11505887210436,-0.551457346247391,-2.19602004061957,-1.48601487222259,-1.27682784521306,-0.878227659264306,0.657841076967204,-0.208375387881787
2021,"CRAWFORD",201.2,1.91396296543134,-0.989685268076012,-1.48356966650016,-0.406761379241692,-2.11732421210718,-2.02973166250145,-1.39875002707239,-1.33069910676024,0.770051782177508,0.016536960182851
2021,"ERIE",182.6,3.87572470370386,-2.13468974336091,-1.35017925789214,0.00121748592373025,-2.41274532944813,-2.45785260120382,-1.52889311080701,-1.06124891440155,0.121708740999556,-0.343376967895734
2021,"HURON",187,1.88332734271756,-1.41938104331476,-1.66793059453382,0.0153028198277398,-2.19109086141991,-1.9520127646479,-1.32605798289221,-1.08613503654613,0.211754432005544,0.0331575542827255
2021,"LORAIN",179.3,2.36526674796843,-1.66916518958246,-2.01283813638862,-0.518802204925487,-2.31106224866948,-1.94887964535548,-1.63608250889863,-0.569447700780698,0.604382119637841,-0.0490348438135383
2021,"OTTAWA",182,4.25353609962894,-2.05920186245657,-1.24277645134311,-0.220569358403575,-2.34125859467365,-2.54386064351576,-2.03992949472746,-1.87206963155599,-0.131718641414832,-0.440288347576872
2021,"SANDUSKY",198.8,3.32271219309801,-1.65599875420146,-1.42279873163557,-0.0121848728257558,-2.13519062688228,-2.30577735208545,-2.03920012846978,-1.65470532959414,0.0997248904598136,-0.238413291899071
2021,"WYANDOT",197.3,3.24170566372607,-1.42408421471154,-1.58279430096745,-0.0258089251233625,-1.91236622011031,-2.65106820273839,-1.84737874134637,-0.991638242394514,0.751577080528422,-0.323754979047283
2021,"ASHTABULA",172,0.650370415263264,-0.347064150257677,-3.31357852000541,-0.927360187674907,-2.10796423017562,-0.670571410090662,-1.74542068234812,-0.424479821241384,0.834688360872039,0.323467795055624
2021,"COLUMBIANA",178.6,0.387168251453069,0.147337692413632,-2.74265333152576,-1.12131655232451,-1.72650982085651,-0.354413240665318,-0.837384669224733,-0.0832768816052844,1.56266967899767,0.551662506391623
