"year","agDistrict","agDistrictCode","county","countyANSI","cornPlanted","cornHarvested","cornYield","cvCornPlanted","cvCornHarvested","cvCornYield","cornPercentHarvest"
2021,"SOUTHEAST",90,"MUSKINGUM",119,16500,15200,"187",0.9,2.3,2.9,0.921212121212121
2021,"SOUTHEAST",90,"NOBLE",121,700,530,"167.2",21.5,26.9,5.3,0.757142857142857
2021,"SOUTHEAST",90,"PERRY",127,17200,16600,"189",0.6,1.7,3.8,0.965116279069767
2021,"SOUTHEAST",90,"VINTON",163,1700,1590,"199.4",5.9,7.1,1,0.935294117647059
2021,"SOUTHEAST",90,"WASHINGTON",167,9600,7200,"173.5",1.4,6,3.3,0.75
2021,"SOUTHWEST",70,"BUTLER",17,27600,26700,"181.3",0.5,1.7,5.9,0.967391304347826
2021,"SOUTHWEST",70,"CLERMONT",25,15100,14600,"187.7",1,1.8,0.8,0.966887417218543
2021,"SOUTHWEST",70,"CLINTON",27,75200,73300,"210.3",1.4,3.8,2.6,0.974734042553192
2021,"SOUTHWEST",70,"GREENE",57,57700,56500,"216.6",0.6,3.6,2.3,0.979202772963605
2021,"SOUTHWEST",70,"HAMILTON",61,3500,3240,"167.6",3.5,5.4,1.6,0.925714285714286
2021,"SOUTHWEST",70,"MONTGOMERY",113,34500,32800,"180.2",0.4,3.9,2.2,0.950724637681159
2021,"SOUTHWEST",70,"PREBLE",135,75700,74700,"187.5",1.3,2.5,1.8,0.986789960369881
2021,"SOUTHWEST",70,"WARREN",165,22000,21200,"184.6",0.5,1.9,2.7,0.963636363636364
2021,"WEST CENTRAL",40,"AUGLAIZE",11,72600,67700,"197.2",0.3,3.9,2.3,0.932506887052342
2021,"WEST CENTRAL",40,"CHAMPAIGN",21,84400,82000,"201.6",0.4,3.7,1.6,0.971563981042654
2021,"WEST CENTRAL",40,"CLARK",23,61500,59800,"209.7",0.5,3.7,3.1,0.972357723577236
2021,"WEST CENTRAL",40,"DARKE",37,132000,123500,"184.7",3.1,4.9,5,0.935606060606061
2021,"WEST CENTRAL",40,"HARDIN",65,90400,85100,"191.5",0.5,2,2.9,0.941371681415929
2021,"WEST CENTRAL",40,"LOGAN",91,70200,68800,"200.5",0.3,3.6,2,0.98005698005698
2021,"WEST CENTRAL",40,"MERCER",107,106500,96000,"200.4",1.3,3.7,2.5,0.901408450704225
2021,"WEST CENTRAL",40,"MIAMI",109,73200,71300,"199.4",0.3,3.7,1.9,0.974043715846995
2021,"WEST CENTRAL",40,"SHELBY",149,74200,68900,"196.5",0.3,3.9,2.2,0.928571428571429
2020,"",99,"OTHER COUNTIES",NA,17400,16530,"180.2",0.9,2.8,2.8,0.95
2020,"CENTRAL",50,"DELAWARE",41,34100,31600,"173.1",0.3,3.4,2.1,0.926686217008798
2020,"CENTRAL",50,"FAIRFIELD",45,59800,58000,"181.2",0.2,2.8,1.6,0.969899665551839
2020,"CENTRAL",50,"FAYETTE",47,90800,88500,"180.9",0.4,3.1,2.3,0.974669603524229
2020,"CENTRAL",50,"FRANKLIN",49,13000,12700,"167",2.7,4.1,3.4,0.976923076923077
2020,"CENTRAL",50,"KNOX",83,52600,49100,"165.9",0.2,2.8,2.6,0.933460076045627
2020,"CENTRAL",50,"LICKING",89,54100,48900,"172.7",0.2,3.9,3.7,0.903881700554529
2020,"CENTRAL",50,"MADISON",97,91600,84900,"172.4",0.4,3.3,1.6,0.926855895196507
2020,"CENTRAL",50,"MARION",101,60200,55200,"177.3",0.2,2.9,2,0.916943521594684
2020,"CENTRAL",50,"MORROW",117,43200,42000,"179.4",0.2,2.5,2.5,0.972222222222222
2020,"CENTRAL",50,"PICKAWAY",129,90800,88900,"170.7",0.4,3.1,2.7,0.979074889867841
2020,"CENTRAL",50,"ROSS",141,51000,50000,"170.6",0.2,2.5,2.4,0.980392156862745
2020,"CENTRAL",50,"UNION",159,56800,55300,"179",0.3,3.2,2.2,0.973591549295775
2020,"EAST CENTRAL",60,"CARROLL",19,11900,10600,"125.1",0.7,3.2,8,0.890756302521008
